113	what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers .
114	it is not likely that the airforces on a wing of general planform oscillating in transonic flow can be determined by purely analytical methods . is it possible to determine the airforces on a single particular planform, such as the rectangular one by such method .
115	is the problem of similarity for representative investigations of aeroelastic effects in heated flow as intractable as previous investigations imply .
116	what is the magnitude and distribution of lift over the cone and the cylindrical portion of a cone-cylinder configuration .
117	is there any information on how the addition of a /boat-tail/ affects the normal force on the body of various angles of incidence .
118	what are the aerodynamic interference effects on the fin lift and body lift of a fin-body combination .
119	what is the effect of initial axisymmetric deviations from circularity on the non linear (large-deflection) load-deflection response of cylinders under hydrostatic pressure .
120	are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode .
121	what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading .
122	what analytical investigations have been made of the stability of conical shells . how do the results compare with experiment .
123	has any work been done on determining the nature of compressible viscous flow in a straight channel .
124	in what areas, other than low density wind tunnel flows, is viscous compressible flow in slender channels a problem . what analytical investigations have been made of the stability of conical shells . how do the results compare with experiment .
125	jet interference with supersonic flow  -dash experimental papers .
126	thrust vector control by fluid injection -dash papers .
127	is it possible to obtain a reasonably simple analytical solution to the heat equation for an exponential (in time) heat input .
128	has anyone programmed a pump design method for a high-speed digital computer .
129	has anyone derived simplified pump design equation from the fundamental three-dimensional equations for incompressible nonviscous flow .
130	what are the flutter characteristics of the exposed skin panels of the x-15 vertical stabilizer when subjected to aerodynamic heating .
131	what agreement is found between theoretically predicted instability times and experimentally measured collapse times for compressed columns in creep .
132	theoretical studies of creep buckling .
133	experimental studies of creep buckling .
134	is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory .
135	what are the experimental results for the creep buckling of columns .
136	what are the results for the creep buckling of round tubes under external pressure .
137	have any analytical studies been conducted on the time-to-failure mechanism associated with creep collapse for a long circular cylindrical shell which exhibits both primary and secondary creep as well as elastic deformations under various distributed force systems .
138	has the effect of initial stresses,  on the frequencies of vibration of circular cylindrical shells,  been investigated .
139	has the effect of the change of initial pressure due to deformation,  on the frequencies of vibration of circular cylindrical shells been investigated .
140	what are the discontinuity stresses at junctions in pressurized structures .
141	what analytical solutions are available for stresses in edge-loaded shells of revolution .
142	what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels .
143	what general solutions for the stresses in pressurized shells of revolution are available .
144	can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness .
145	what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .
146	does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted .
147	what are the equations which define the stability of simply supported corrugated core sandwich cylinders .
148	papers on small deflection theory for buckling of sandwich cylinders .
149	has anyone developed an analysis which accurately establishes the large deflection behaviour of conical shells .
150	what is the magnitude of second-order wing-body interference at high supersonic mach number .
151	what is the best theoretical method for calculating pressure on the surface of a wing alone .
152	how can the effect of the boundary-layer on wing pressure be calculated, and what is its magnitude .
153	how should the navier-stokes difference equations be solved .
154	which  iterative method for solving linear elliptic difference equations is most rapidly convergent .
155	technical report on measurement of ablation during flight .
156	what qualitative and quantitative material is available on ablation materials research .
157	have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes .
158	what are the available properties of high-temperature air .
159	what is the magnitude of aerodynamic damping in flexible vibration modes of a slender body of revolution characteristic of launch vehicles .
160	compressive circumferential stresses in a torispherical shell reveal the possibility of buckling under internal pressure . has anyone investigated for which ranges of shell parameters these stresses are sufficiently large to cause elastic buckling .
161	is there an integral method to give a single and sufficiently accurate method of calculating the laminar separate point for various incompressible and compressible boundary layers with zero heat transfer .
162	what accurate or exact solutions of the laminar separation point for various incompressible and compressible boundary layers with zero heat transfer are available .
163	can the hypersonic similarity results be applied to the technique of predicting surface pressures of an ogive forebody at angle of attack .
164	what determines the onset of shock-induced boundary-layer separation .
165	are the stable profiles of a compressible boundary layer induced by a moving wave known .
166	are there experimental results on the stability of a compressible boundary layer induced by a moving wave .
167	exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .
168	what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle,  i.e. finding the flow in a given nozzle .
169	what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle,  i.e. finding a nozzle which has a given axial velocity distribution .
170	why do users of orthodox pitot-static tubes often find that the calibrations appear to be,. - (a) significantly different from those formerly specified,  (b) wildly variable at low reynolds numbers .
171	has a comparison been made between interference-free drag measurements using free-flight models and similar measurements made in a low-blockage wind tunnel .
172	solution of the blasius problem with three-point boundary conditions .
173	references on lyapunov's method on the stability of linear differential equations with periodic coefficients .
174	obtain all papers and reports that contain shock detachment distance data .
175	work on flow in channels at low reynolds numbers .
176	some approximate analytical heat conduction solutions using methods other than biot's principle .
177	what mode of stalling can be expected for each stage of an axial compressor .
178	has a criterion been established for determining the axial compressor choking line .
